"event_date","company_code","event_type","severity","description","status"
"2025-10-25","920553.BJ","自律监管措施","中","围绕低流动性风险进行监管跟踪","整改中"
"2025-03-10","920020.BJ","监管关注","中","围绕募资风险进行监管跟踪","持续关注"
"2025-02-18","920245.BJ","问询函","高","围绕低流动性风险进行监管跟踪","已回复"
"2025-11-12","920108.BJ","问询函","中","围绕募资风险进行监管跟踪","已回复"
"2026-03-18","920009.BJ","问询函","中","围绕募资风险进行监管跟踪","已回复"
"2025-03-29","920519.BJ","问询函","高","围绕低流动性风险进行监管跟踪","整改中"
"2025-10-16","920370.BJ","监管关注","高","围绕低流动性风险进行监管跟踪","整改中"
"2025-02-17","920022.BJ","问询函","高","围绕募资风险进行监管跟踪","已回复"
"2025-11-18","920304.BJ","监管关注","中","围绕低流动性风险进行监管跟踪","已回复"
"2025-12-03","920807.BJ","问询函","中","围绕财务风险进行监管跟踪","已回复"
"2025-05-24","920799.BJ","监管关注","高","围绕估值风险进行监管跟踪","整改中"
"2026-01-14","920419.BJ","纪律处分","高","围绕低流动性风险进行监管跟踪","整改中"
"2025-01-12","920656.BJ","问询函","低","围绕低流动性风险进行监管跟踪","已回复"
"2026-01-07","920252.BJ","监管关注","高","围绕估值风险进行监管跟踪","整改中"
"2025-11-08","920374.BJ","自律监管措施","中","围绕估值风险进行监管跟踪","已回复"
"2026-03-20","920895.BJ","监管关注","高","围绕低流动性风险进行监管跟踪","已回复"
"2025-09-25","920145.BJ","监管关注","中","围绕低流动性风险进行监管跟踪","已回复"
"2026-04-19","920045.BJ","纪律处分","低","围绕募资风险进行监管跟踪","已回复"
"2025-06-08","920168.BJ","监管关注","低","围绕募资风险进行监管跟踪","整改中"
"2025-04-01","920402.BJ","自律监管措施","高","围绕财务风险进行监管跟踪","已回复"
"2026-02-10","920178.BJ","纪律处分","低","围绕募资风险进行监管跟踪","已回复"
"2025-08-05","920974.BJ","问询函","高","围绕低流动性风险进行监管跟踪","整改中"
"2025-11-21","920665.BJ","监管关注","低","围绕低流动性风险进行监管跟踪","已回复"
"2025-08-31","920407.BJ","自律监管措施","低","围绕募资风险进行监管跟踪","已回复"
"2025-12-14","920857.BJ","问询函","低","围绕低流动性风险进行监管跟踪","已回复"
"2025-09-04","920640.BJ","问询函","中","围绕财务风险进行监管跟踪","持续关注"
