"period","company_code","risk_type","risk_level","risk_reason"
"2026-06","920003.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920003.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920005.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920006.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920007.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920008.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920008.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920009.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920011.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920012.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920015.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920015.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920016.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920016.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920016.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920018.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920019.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920019.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920020.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920021.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920022.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920023.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920027.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920028.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920029.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920029.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920030.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920030.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920035.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920036.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920039.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920045.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920047.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920050.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920055.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920056.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920057.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920057.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920058.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920060.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920062.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920066.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920068.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920069.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920069.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920075.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920076.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920077.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920078.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920080.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920082.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920083.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920083.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920083.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920086.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920088.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920088.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920089.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920091.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920091.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920096.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920099.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920099.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920100.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920101.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920106.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920108.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920110.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920110.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920111.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920112.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920118.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920118.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920119.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920121.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920122.BJ","估值风险","中","估值较高且营收增长偏弱"
"2026-06","920123.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
